source_file,name,original_url,target_path,prompt
client/src/pages/drinks/index.tsx,Smoothies & Bowls,https://images.unsplash.com/photo-1553530979-451d0aa3ad9f?w=300&h=200&fit=crop,/public/images/drinks/smoothies-bowls.png,"a drink photo matching 'Smoothies & Bowls', photorealistic, studio-lit, 45-degree angle, shallow depth of field, on neutral matte background, high detail, no text, no watermark"
client/src/pages/drinks/index.tsx,Protein Shakes,https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?w=300&h=200&fit=crop,/public/images/drinks/protein-shakes.png,"a drink photo matching 'Protein Shakes', photorealistic, studio-lit, 45-degree angle, shallow depth of field, on neutral matte background, high detail, no text, no watermark"
client/src/pages/drinks/index.tsx,Detoxes & Cleanses,https://images.unsplash.com/photo-1622597467836-f3285f2131b8?w=300&h=200&fit=crop,/public/images/drinks/detoxes-cleanses.png,"a drink photo matching 'Detoxes & Cleanses', photorealistic, studio-lit, 45-degree angle, shallow depth of field, on neutral matte background, high detail, no text, no watermark"
client/src/pages/drinks/index.tsx,Caffeinated Drinks,https://images.unsplash.com/photo-1495474472287-4d71bcdd2085?w=300&h=200&fit=crop,/public/images/drinks/caffeinated-drinks.png,"a drink photo matching 'Caffeinated Drinks', photorealistic, studio-lit, 45-degree angle, shallow depth of field, on neutral matte background, high detail, no text, no watermark"
client/src/pages/drinks/index.tsx,Potent Potables,https://images.unsplash.com/photo-1514362545857-3bc16c4c7d1b?w=300&h=200&fit=crop,/public/images/drinks/potent-potables.png,"a drink photo matching 'Potent Potables', photorealistic, studio-lit, 45-degree angle, shallow depth of field, on neutral matte background, high detail, no text, no watermark"
client/src/pages/drinks/index.tsx,Green Goddess Bowl,https://images.unsplash.com/photo-1610348725531-843dff563e2c?w=250&h=180&fit=crop,/public/images/drinks/green-goddess-bowl.png,"a drink photo matching 'Green Goddess Bowl', photorealistic, studio-lit, 45-degree angle, shallow depth of field, on neutral matte background, high detail, no text, no watermark"
client/src/pages/drinks/index.tsx,Beast Mode Builder,https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?w=250&h=180&fit=crop,/public/images/drinks/beast-mode-builder.png,"a drink photo matching 'Beast Mode Builder', photorealistic, studio-lit, 45-degree angle, shallow depth of field, on neutral matte background, high detail, no text, no watermark"
client/src/pages/drinks/index.tsx,Cosmic Martini,https://images.unsplash.com/photo-1514362545857-3bc16c4c7d1b?w=250&h=180&fit=crop,/public/images/drinks/cosmic-martini.png,"a drink photo matching 'Cosmic Martini', photorealistic, studio-lit, 45-degree angle, shallow depth of field, on neutral matte background, high detail, no text, no watermark"
client/src/pages/drinks/caffeinated/index.tsx,Espresso Drinks,https://images.unsplash.com/photo-1511920170033-f8396924c348?w=600&h=400&fit=crop,/public/images/drinks/caffeinated/espresso-drinks.png,"a caffeinated drink matching 'Espresso Drinks', photorealistic, studio-lit, 45-degree angle, shallow depth of field, on neutral matte background, high detail, no text, no watermark"
client/src/pages/drinks/caffeinated/index.tsx,Cold Brew,https://images.unsplash.com/photo-1517487881594-2787fef5ebf7?w=600&h=400&fit=crop,/public/images/drinks/caffeinated/cold-brew.png,"a caffeinated drink matching 'Cold Brew', photorealistic, studio-lit, 45-degree angle, shallow depth of field, on neutral matte background, high detail, no text, no watermark"
client/src/pages/drinks/caffeinated/index.tsx,Tea,https://images.unsplash.com/photo-1556679343-c7306c1976bc?w=600&h=400&fit=crop,/public/images/drinks/caffeinated/tea.png,"a caffeinated drink matching 'Tea', photorealistic, studio-lit, 45-degree angle, shallow depth of field, on neutral matte background, high detail, no text, no watermark"
client/src/pages/drinks/caffeinated/index.tsx,Matcha,https://images.unsplash.com/photo-1536013564743-4f0b72d6b95f?w=600&h=400&fit=crop,/public/images/drinks/caffeinated/matcha.png,"a caffeinated drink matching 'Matcha', photorealistic, studio-lit, 45-degree angle, shallow depth of field, on neutral matte background, high detail, no text, no watermark"
client/src/pages/drinks/caffeinated/index.tsx,Energy Drinks,https://images.unsplash.com/photo-1622484211443-76c4deea5047?w=600&h=400&fit=crop,/public/images/drinks/caffeinated/energy-drinks.png,"a caffeinated drink matching 'Energy Drinks', photorealistic, studio-lit, 45-degree angle, shallow depth of field, on neutral matte background, high detail, no text, no watermark"
client/src/pages/drinks/caffeinated/index.tsx,Specialty Coffee,https://images.unsplash.com/photo-1509042239860-f550ce710b93?w=600&h=400&fit=crop,/public/images/drinks/caffeinated/specialty-coffee.png,"a caffeinated drink matching 'Specialty Coffee', photorealistic, studio-lit, 45-degree angle, shallow depth of field, on neutral matte background, high detail, no text, no watermark"
client/src/pages/drinks/caffeinated/index.tsx,Lattes & Cappuccinos,https://images.unsplash.com/photo-1461023058943-07fcbe16d735?w=600&h=400&fit=crop,/public/images/drinks/caffeinated/lattes-cappuccinos.png,"a caffeinated drink matching 'Lattes & Cappuccinos', photorealistic, studio-lit, 45-degree angle, shallow depth of field, on neutral matte background, high detail, no text, no watermark"
client/src/pages/drinks/caffeinated/index.tsx,Iced Coffee,https://images.unsplash.com/photo-1571091718767-18b5b1457add?w=600&h=400&fit=crop,/public/images/drinks/caffeinated/iced-coffee.png,"a caffeinated drink matching 'Iced Coffee', photorealistic, studio-lit, 45-degree angle, shallow depth of field, on neutral matte background, high detail, no text, no watermark"
